game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
285900,"2,000,000 .. 5,000,000",414,153,181,252,,,799.0,1999.0,60.0,376,
1013320,"500,000 .. 1,000,000",9246,2286,195,4558,,,0.0,0.0,0.0,1785,
49520,"10,000,000 .. 20,000,000",3182,606,888,638,,,499.0,1999.0,75.0,8551,
1996840,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
602960,"2,000,000 .. 5,000,000",2095,602,500,180,,,1749.0,3499.0,50.0,2371,
920210,"1,000,000 .. 2,000,000",1209,109,483,154,,,999.0,4999.0,80.0,719,
2074920,"0 .. 20,000",2453,355,293,112,,,0.0,0.0,0.0,0,
2124490,"500,000 .. 1,000,000",889,302,859,316,,,6999.0,6999.0,0.0,514,
4000,"20,000,000 .. 50,000,000",10937,581,1291,132,,,599.0,999.0,40.0,18400,
374320,"5,000,000 .. 10,000,000",5361,426,2428,153,,,5999.0,5999.0,0.0,4381,
10180,"5,000,000 .. 10,000,000",1222,82,431,145,,,1999.0,1999.0,0.0,399,
550,"50,000,000 .. 100,000,000",2358,262,530,105,,,999.0,999.0,0.0,25122,
223750,"5,000,000 .. 10,000,000",1077,196,40,346,,,0.0,0.0,0.0,636,
212160,"2,000,000 .. 5,000,000",1511,0,176,0,,,0.0,0.0,0.0,141,
294100,"5,000,000 .. 10,000,000",14427,1153,4071,294,,,3499.0,3499.0,0.0,19211,
1933450,"0 .. 20,000",146,0,232,0,,,,,,0,
3158270,"50,000 .. 100,000",398,452,427,452,,,1299.0,1299.0,0.0,55,
221100,"10,000,000 .. 20,000,000",14425,1064,2535,612,,,4999.0,4999.0,0.0,37066,
1593500,"5,000,000 .. 10,000,000",1546,244,1260,350,,,4999.0,4999.0,0.0,1380,
865360,"500,000 .. 1,000,000",361,80,346,159,,,493.0,1299.0,62.0,178,
1145350,"2,000,000 .. 5,000,000",1859,118,932,83,,,2999.0,2999.0,0.0,1838,
3255980,"0 .. 20,000",0,0,0,0,,,1004.0,1499.0,33.0,0,
870780,"1,000,000 .. 2,000,000",1073,263,401,324,,,599.0,3999.0,85.0,648,
286160,"2,000,000 .. 5,000,000",2752,463,473,208,,,1999.0,1999.0,0.0,5021,
2073850,"0 .. 20,000",1128,495,197,351,,,,,,0,
2916430,"200,000 .. 500,000",406,157,335,200,,,1499.0,1499.0,0.0,545,
322330,"10,000,000 .. 20,000,000",2562,398,496,97,,,1499.0,1499.0,0.0,30542,
3059070,"200,000 .. 500,000",257,139,169,175,,,799.0,799.0,0.0,169,
1436990,"500,000 .. 1,000,000",317,30,271,30,,,499.0,499.0,0.0,62,
337410,"200,000 .. 500,000",13677,0,4294,0,,,0.0,0.0,0.0,441,
2357570,"0 .. 20,000",2926,585,211,287,,,0.0,0.0,0.0,0,
376210,"500,000 .. 1,000,000",6742,749,816,637,,,1999.0,1999.0,0.0,5946,
1340990,"100,000 .. 200,000",2803,189,2869,318,,,4999.0,4999.0,0.0,385,
386940,"1,000,000 .. 2,000,000",647,108,306,77,,,1499.0,1499.0,0.0,350,
1888930,"1,000,000 .. 2,000,000",1159,599,994,518,,,5999.0,5999.0,0.0,4144,
1937780,"200,000 .. 500,000",580,33,469,33,,,3999.0,3999.0,0.0,38,
2651280,"500,000 .. 1,000,000",1428,465,1485,725,,,5999.0,5999.0,0.0,1348,
1426210,"5,000,000 .. 10,000,000",929,201,741,104,,,3999.0,3999.0,0.0,5018,
12210,"5,000,000 .. 10,000,000",1951,445,641,123,,,1999.0,1999.0,0.0,2122,
1940340,"1,000,000 .. 2,000,000",2367,176,1113,139,,,3999.0,3999.0,0.0,1054,
222480,"1,000,000 .. 2,000,000",717,8,420,8,,,499.0,1999.0,75.0,101,
1479730,"20,000 .. 50,000",1664,2019,2359,2019,,,4499.0,4999.0,10.0,319,
220440,"1,000,000 .. 2,000,000",567,58,356,58,,,749.0,2999.0,75.0,107,
1721470,"5,000,000 .. 10,000,000",1300,46,61,63,,,0.0,0.0,0.0,588,
993090,"2,000,000 .. 5,000,000",2567,454,239,40,,,699.0,699.0,0.0,5667,
3515610,"0 .. 20,000",0,0,0,0,,,1500.0,1500.0,0.0,0,
291550,"20,000,000 .. 50,000,000",3128,592,193,166,,,0.0,0.0,0.0,14169,
933110,"1,000,000 .. 2,000,000",1237,683,230,1147,,,0.0,0.0,0.0,3016,
2488370,"100,000 .. 200,000",870,848,748,1020,,,1499.0,1499.0,0.0,2538,
629520,"2,000,000 .. 5,000,000",11939,587,2325,212,,,499.0,499.0,0.0,15279,
594650,"10,000,000 .. 20,000,000",9075,532,893,341,,,2999.0,2999.0,0.0,6300,
